"Date Printed: Tuesday, August 20, 2024 8:01:25 AM",,,,,,,,,,,,,,,
"Title: ""Estimated HIV incidence | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Palau | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""""",,,,,,,,,,,,,,,
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,,,,,,,,
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.,,,,,,,,,,,,,,,
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.,,,,,,,,,,,,,,,
   The 'Sex' column is used for either sex assigned at birth or gender identity.,,,,,,,,,,,,,,,
   NA - Not applicable.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Cases LCI,Cases UCI,RSE,Rate per 100000,Rate LCI,Rate UCI,Population
Estimated HIV incidence,2012,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",970,"1,300",7.6,15.4,13.1,17.7,"7,408,712"
Estimated HIV incidence,2012,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,60,34.6*,2.9,0.9,4.9,"1,134,566"
Estimated HIV incidence,2012,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,400,330,480,9.9,17.8,14.3,21.2,"2,271,081"
Estimated HIV incidence,2012,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,50,120,22.5,5.6,3.1,8,"1,514,509"
Estimated HIV incidence,2012,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"843,619"
Estimated HIV incidence,2012,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,350,510,9,8.6,7.1,10.1,"5,017,798"
Estimated HIV incidence,2012,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,380,300,460,10.7,15.5,12.3,18.8,"2,449,749"
Estimated HIV incidence,2012,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,290,220,360,11.8,6.5,5,8,"4,454,360"
Estimated HIV incidence,2012,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,730,620,840,7.7,8.8,7.4,10.1,"8,306,150"
Estimated HIV incidence,2012,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,590,490,690,8.7,10.5,8.7,12.2,"5,677,104"
Estimated HIV incidence,2012,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",990,"1,300",7,23.2,20,26.5,"4,925,579"
Estimated HIV incidence,2012,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,50,0,90,46.2*,4.2,0.4,8.1,"1,143,317"
Estimated HIV incidence,2012,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,860,750,980,7,22.8,19.7,25.9,"3,794,180"
Estimated HIV incidence,2012,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,340,260,410,11.5,9.3,7.2,11.3,"3,653,860"
Estimated HIV incidence,2012,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,140,90,190,18.3,5.8,3.7,7.9,"2,357,115"
Estimated HIV incidence,2012,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,60,150,20.8,4,2.4,5.7,"2,554,279"
Estimated HIV incidence,2012,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,460,370,550,9.7,8.6,6.9,10.2,"5,401,100"
Estimated HIV incidence,2012,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,500","1,300","1,600",5.7,13.6,12.1,15.1,"10,703,066"
Estimated HIV incidence,2012,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,284,310"
Estimated HIV incidence,2012,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,40,110,24.3,6.3,3.3,9.3,"1,169,051"
Estimated HIV incidence,2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,500","2,300","2,700",4.4,31.1,28.5,33.8,"8,107,803"
Estimated HIV incidence,2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,200","3,900","4,500",3.6,25.3,23.5,27.1,"16,455,096"
Estimated HIV incidence,2012,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,440,350,530,10.2,79.7,63.7,95.7,"553,615"
Estimated HIV incidence,2012,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,120,70,160,20,15.1,9.2,21,"768,686"
Estimated HIV incidence,2012,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,190,320,12.9,8.5,6.3,10.7,"3,044,536"
Estimated HIV incidence,2012,Colorado,8,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,380,300,460,10.8,8.9,7,10.8,"4,290,603"
Estimated HIV incidence,2012,California,6,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,900","4,600","5,200",3,15.6,14.7,16.5,"31,375,726"
Estimated HIV incidence,2012,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,200,330,13,10.8,8.1,13.6,"2,439,317"
Estimated HIV incidence,2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,700,580,810,8.5,12.9,10.8,15.1,"5,387,734"
Estimated HIV incidence,2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,0,50,45.7*,4.3,0.4,8.1,"593,060"
Estimated HIV incidence,2012,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,660,550,760,8,16.3,13.7,18.8,"4,020,179"
Estimated HIV incidence,2013,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2013,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2013,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,510,390,630,11.6,16.8,12.9,20.6,"3,043,338"
Estimated HIV incidence,2013,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2013,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2013,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2013,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"481,376"
Estimated HIV incidence,2013,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,230,170,290,14.2,4.8,3.4,6.1,"4,805,390"
Estimated HIV incidence,2013,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,50,130,25.2,5.7,2.9,8.5,"1,582,011"
Estimated HIV incidence,2013,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,320,530,12.3,7.3,5.6,9.1,"5,815,833"
Estimated HIV incidence,2013,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,900,760,"1,000",8.1,13,10.9,15.1,"6,911,744"
Estimated HIV incidence,2013,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"541,308"
Estimated HIV incidence,2013,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,80,180,19,5.9,3.7,8.2,"2,233,546"
Estimated HIV incidence,2013,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,400","4,100","4,700",3.6,20.4,19,21.8,"21,356,561"
Estimated HIV incidence,2013,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,740,630,860,8,13.7,11.6,15.9,"5,427,127"
Estimated HIV incidence,2013,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,10,50,37.7*,4.2,1.1,7.3,"689,670"
Estimated HIV incidence,2013,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,740,620,860,8.3,18.4,15.4,21.4,"3,990,748"
Estimated HIV incidence,2013,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,40,110,22.6,8.5,4.7,12.2,"905,075"
Estimated HIV incidence,2013,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,000",890,"1,200",7.9,9.6,8.2,11.1,"10,860,069"
Estimated HIV incidence,2013,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,180,120,250,16.9,5.6,3.7,7.4,"3,310,101"
Estimated HIV incidence,2013,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,330,250,400,11.9,10.3,7.9,12.7,"3,161,815"
Estimated HIV incidence,2013,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,980,830,"1,100",7.6,10.1,8.6,11.6,"9,699,189"
Estimated HIV incidence,2013,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"601,809"
Estimated HIV incidence,2013,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,300","1,100","1,400",6.4,15.6,13.6,17.5,"8,205,952"
Estimated HIV incidence,2013,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,900","2,600","3,100",4.4,17.4,15.9,18.9,"16,604,155"
Estimated HIV incidence,2013,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,120,80,170,18.2,7.1,4.6,9.7,"1,724,527"
Estimated HIV incidence,2013,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",910,"1,300",8.3,14.7,12.3,17.1,"7,433,702"
Estimated HIV incidence,2013,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,50,45.3*,2.1,0.2,4,"1,140,082"
Estimated HIV incidence,2013,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,340,510,10.3,18.5,14.7,22.2,"2,303,194"
Estimated HIV incidence,2013,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,40,120,26.9,5,2.3,7.6,"1,525,389"
Estimated HIV incidence,2013,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"852,177"
Estimated HIV incidence,2013,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,410,330,490,9.8,8.2,6.6,9.8,"5,041,204"
Estimated HIV incidence,2013,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,380,290,460,11.4,15.3,11.8,18.7,"2,461,602"
Estimated HIV incidence,2013,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,280,210,360,13.1,6.3,4.7,7.9,"4,490,553"
Estimated HIV incidence,2013,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,700,590,810,8.1,8.4,7,9.7,"8,339,138"
Estimated HIV incidence,2013,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,600,490,700,9.3,10.4,8.5,12.3,"5,731,786"
Estimated HIV incidence,2013,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",930,"1,200",7.5,21.9,18.7,25.1,"4,963,745"
Estimated HIV incidence,2013,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,145,976"
Estimated HIV incidence,2013,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,920,790,"1,100",7.3,24.2,20.7,27.6,"3,820,804"
Estimated HIV incidence,2013,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,320,240,400,12.7,8.7,6.5,10.9,"3,675,622"
Estimated HIV incidence,2013,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,140,80,200,21.3,5.8,3.4,8.3,"2,368,190"
Estimated HIV incidence,2013,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,40,120,25.4,3,1.5,4.5,"2,570,965"
Estimated HIV incidence,2013,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,340,520,10.6,8,6.3,9.6,"5,438,238"
Estimated HIV incidence,2013,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,400","1,200","1,600",6.3,13.1,11.5,14.7,"10,741,235"
Estimated HIV incidence,2013,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,301,401"
Estimated HIV incidence,2013,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,30,110,27.4,6.1,2.8,9.4,"1,180,740"
Estimated HIV incidence,2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,300","2,100","2,600",5,28.6,25.8,31.4,"8,189,042"
Estimated HIV incidence,2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,200","3,900","4,500",3.8,25.3,23.4,27.2,"16,696,724"
Estimated HIV incidence,2013,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,350,260,440,12.7,62.5,46.9,78.1,"565,099"
Estimated HIV incidence,2013,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,60,150,23,13.3,7.3,19.3,"777,961"
Estimated HIV incidence,2013,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,280,210,350,13.3,9.1,6.7,11.5,"3,054,931"
Estimated HIV incidence,2013,Colorado,8,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,340,260,430,12.7,7.8,5.9,9.8,"4,367,891"
Estimated HIV incidence,2013,California,6,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,700","4,400","5,000",3.3,14.9,13.9,15.8,"31,693,840"
Estimated HIV incidence,2013,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,300,220,380,12.8,12.2,9.2,15.3,"2,450,279"
Estimated HIV incidence,2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,790,660,930,8.7,14.5,12,17,"5,468,331"
Estimated HIV incidence,2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,40,10,70,40.1*,6.5,1.4,11.7,"599,774"
Estimated HIV incidence,2013,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,590,480,700,9.3,14.6,12,17.3,"4,042,695"
Estimated HIV incidence,2014,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2014,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2014,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,480,360,600,12.9,15.9,11.9,19.9,"3,012,544"
Estimated HIV incidence,2014,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2014,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2014,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2014,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"481,363"
Estimated HIV incidence,2014,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,200,130,270,17.2,4.1,2.7,5.5,"4,826,834"
Estimated HIV incidence,2014,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,50,150,26.5,6.4,3.1,9.8,"1,579,124"
Estimated HIV incidence,2014,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,320,550,13.4,7.3,5.4,9.2,"5,900,568"
Estimated HIV incidence,2014,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,880,730,"1,000",8.8,12.7,10.5,14.9,"6,972,929"
Estimated HIV incidence,2014,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"541,335"
Estimated HIV incidence,2014,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,80,190,22,5.9,3.3,8.4,"2,272,041"
Estimated HIV incidence,2014,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,300","4,000","4,600",3.8,19.7,18.2,21.1,"21,787,726"
Estimated HIV incidence,2014,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,790,660,920,8.6,14.4,12,16.9,"5,474,765"
Estimated HIV incidence,2014,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,0,50,45.0*,3.7,0.4,6.9,"694,928"
Estimated HIV incidence,2014,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,720,590,850,9.3,17.7,14.5,20.9,"4,049,081"
Estimated HIV incidence,2014,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,30,100,27.2,7.4,3.4,11.3,"907,577"
Estimated HIV incidence,2014,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,940,770,"1,100",9.3,8.7,7.1,10.3,"10,882,318"
Estimated HIV incidence,2014,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,230,160,310,16.3,6.9,4.7,9.2,"3,349,717"
Estimated HIV incidence,2014,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,290,210,370,14.4,9.1,6.5,11.6,"3,184,677"
Estimated HIV incidence,2014,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,940,770,"1,100",8.9,9.6,7.9,11.3,"9,735,364"
Estimated HIV incidence,2014,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,0,60,44.3*,5.5,0.7,10.3,"612,699"
Estimated HIV incidence,2014,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,200","1,000","1,300",7.1,14.2,12.3,16.2,"8,303,129"
Estimated HIV incidence,2014,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,700","2,500","3,000",4.9,16.5,14.9,18.1,"16,646,424"
Estimated HIV incidence,2014,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,80,170,19.2,7.3,4.6,10.1,"1,727,098"
Estimated HIV incidence,2014,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",900,"1,300",9.5,14.9,12.1,17.7,"7,452,869"
Estimated HIV incidence,2014,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,50,20,80,34.0*,4.1,1.4,6.9,"1,149,630"
Estimated HIV incidence,2014,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,460,360,560,11.4,19.5,15.2,23.9,"2,342,586"
Estimated HIV incidence,2014,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,30,120,29.3,4.8,2,7.6,"1,538,055"
Estimated HIV incidence,2014,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,50,47.4*,2.9,0.2,5.5,"859,671"
Estimated HIV incidence,2014,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,410,330,500,10.8,8.2,6.4,9.9,"5,061,571"
Estimated HIV incidence,2014,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,350,260,440,13.5,14.2,10.5,18,"2,468,107"
Estimated HIV incidence,2014,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,300,210,380,14.3,6.5,4.7,8.4,"4,525,727"
Estimated HIV incidence,2014,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,700,580,830,9,8.4,6.9,9.9,"8,370,768"
Estimated HIV incidence,2014,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,560,450,680,10.7,9.8,7.7,11.8,"5,786,020"
Estimated HIV incidence,2014,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,000",850,"1,200",8.5,20.4,17,23.8,"4,995,853"
Estimated HIV incidence,2014,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,50,0,110,48.7*,4.7,0.2,9.2,"1,150,378"
Estimated HIV incidence,2014,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,980,830,"1,100",7.8,25.6,21.7,29.5,"3,840,680"
Estimated HIV incidence,2014,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,350,250,440,13.7,9.4,6.9,12,"3,688,751"
Estimated HIV incidence,2014,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,70,180,23.3,5.3,2.9,7.7,"2,378,348"
Estimated HIV incidence,2014,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,60,160,22,4.4,2.5,6.3,"2,586,135"
Estimated HIV incidence,2014,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,520,400,630,11.2,9.5,7.4,11.6,"5,468,566"
Estimated HIV incidence,2014,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,400","1,200","1,600",6.9,12.8,11.1,14.5,"10,755,539"
Estimated HIV incidence,2014,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,321,438"
Estimated HIV incidence,2014,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,30,110,27.8,6.3,2.9,9.7,"1,187,177"
Estimated HIV incidence,2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,400","2,200","2,700",5.5,29.3,26.2,32.5,"8,289,125"
Estimated HIV incidence,2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,100","3,800","4,500",4.3,24.4,22.4,26.5,"16,975,868"
Estimated HIV incidence,2014,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,330,240,430,14.7,58.2,41.4,75,"573,824"
Estimated HIV incidence,2014,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,120,60,170,25.2,14.6,7.4,21.8,"787,164"
Estimated HIV incidence,2014,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,180,340,15.4,8.4,5.9,11,"3,062,599"
Estimated HIV incidence,2014,Colorado,8,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,410,310,510,11.9,9.2,7.1,11.4,"4,448,358"
Estimated HIV incidence,2014,California,6,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"5,000","4,600","5,300",3.6,15.6,14.5,16.7,"32,028,983"
Estimated HIV incidence,2014,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,310,220,400,14.1,12.6,9.1,16.1,"2,460,710"
Estimated HIV incidence,2014,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,780,630,930,9.9,14,11.3,16.7,"5,565,668"
Estimated HIV incidence,2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,40,10,70,42.1*,6.7,1.2,12.2,"600,001"
Estimated HIV incidence,2014,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,600,490,720,9.9,14.9,12,17.7,"4,060,083"
Estimated HIV incidence,2015,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2015,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2015,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,450,320,580,15.1,15.1,10.6,19.5,"2,976,300"
Estimated HIV incidence,2015,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2015,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2015,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2015,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"483,595"
Estimated HIV incidence,2015,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,170,340,16,5.3,3.6,6.9,"4,841,614"
